,MAN,WOMAN,PERSON,associated_word,ita_expressions
football,0.39593392610549927,0.20117619633674622,0.2917453646659851,man,A CALCIO
at volleyball,0.3335181474685669,0.35160839557647705,0.257190465927124,woman,A PALLAVOLO
at school,0.5225477814674377,0.4746248722076416,0.42698216438293457,man,A SCUOLA
match colors,0.3325139880180359,0.2974495589733124,0.34386107325553894,person,ABBINARE I COLORI
welcoming,0.11148830503225327,0.08210062980651855,0.12088626623153687,person,ACCOGLIENTE
companion,0.15662041306495667,0.2261127233505249,0.10015261173248291,woman,ACCOMPAGNATRICE
caring for the children,0.5116161108016968,0.5410996079444885,0.5358683466911316,woman,ACCUDIRE I FIGLI
dog trainer,0.321127712726593,0.30491364002227783,0.2260073721408844,man,ADDESTRATORE DI CANI
easy going,0.5071846842765808,0.45777395367622375,0.6642253398895264,person,AFFABILE
busy,0.2120126336812973,0.2558414041996002,0.2426314502954483,woman,AFFACCENDATA
agent,0.2821175456047058,0.21050481498241425,0.18064802885055542,man,AGENTE
real estate agent,0.3816123306751251,0.3187825679779053,0.3698990046977997,man,AGENTE IMMOBILIARE
adjust,0.1329984962940216,0.10801923274993896,0.22442664206027985,person,AGGIUSTARE
adjust the electrical system,0.3937264680862427,0.2933279871940613,0.4994484484195709,person,AGGIUSTARE L'IMPIANTO ELETTRICO
adjuster,-0.055534325540065765,-0.004248524084687233,-0.09161143004894257,woman,AGGIUSTATORE
adjuster,-0.055534325540065765,-0.004248524084687233,-0.09161143004894257,woman,AGGIUSTATRICE
adjuster,-0.055534325540065765,-0.004248524084687233,-0.09161143004894257,woman,AGGIUSTATUTTO
farmer,0.24780716001987457,0.189078226685524,0.0979565754532814,man,AGRICOLTORE
support worker,0.41391468048095703,0.41504397988319397,0.363492488861084,woman,AIUTANTE
domestic help,0.40629661083221436,0.3444557785987854,0.4470864236354828,person,AIUTANTE DOMESTICO
help,0.4194108545780182,0.3754434585571289,0.45816516876220703,person,AIUTO
at the pc,0.48125123977661133,0.3968616724014282,0.5518741607666016,person,AL COMPUTER
ally,0.18237389624118805,0.14720483124256134,0.18047435581684113,man,ALLEATA
trainer,0.25202786922454834,0.18565906584262848,0.11576139181852341,man,ALLENATORE
student,0.36026737093925476,0.3788638710975647,0.21963469684123993,woman,ALLIEVA
student,0.36026737093925476,0.3788638710975647,0.21963469684123993,woman,ALLIEVO
alpha extension,0.1822323054075241,0.14632415771484375,0.21501360833644867,person,ALPHA
mountaineeper,0.19937527179718018,0.21097448468208313,0.1788879781961441,woman,ALPINISTA
athlete,0.28693073987960815,0.31628766655921936,0.2093469500541687,woman,ALTLETA
student,0.36026737093925476,0.3788638710975647,0.21963469684123993,woman,ALUNNA
student,0.36026737093925476,0.3788638710975647,0.21963469684123993,woman,ALUNNO
lover,0.2026055008172989,0.3406601548194885,0.08001009374856949,woman,AMANTE
friend,0.4484379291534424,0.47671934962272644,0.28032612800598145,woman,AMICA
friend,0.4484379291534424,0.47671934962272644,0.28032612800598145,woman,AMICO
trainer of parokets,0.18292652070522308,0.15632836520671844,0.12802347540855408,man,AMMAESTRATORE DI COCORITE
administrator,0.18339994549751282,0.16222381591796875,0.11850527673959732,man,AMMINISTRATORE
administrator,0.18339994549751282,0.16222381591796875,0.11850527673959732,man,AMMINISTRATRICE
house administrator,0.39494919776916504,0.36667659878730774,0.3512722849845886,man,AMMINISTRATRICE DI CASA
condominium administrator,0.14028726518154144,0.18509450554847717,0.06566518545150757,woman,AMMINISTRATRICE DI CONDOMINIO
analyst,0.10550318658351898,0.038964491337537766,0.15615756809711456,person,ANALISTA
anesthetist,-0.15973486006259918,-0.06278989464044571,-0.2531355023384094,woman,ANESTESISTA
animalist,0.19428761303424835,0.22775208950042725,0.1642625629901886,woman,ANIMALISTA
animator,-0.004092450253665447,-0.030465198680758476,-0.09970907121896744,man,ANIMATORE
beekeeper,-0.1506340503692627,-0.09331885725259781,-0.24759633839130402,woman,APICOLTORE
benefiter,0.19525597989559174,0.1639903038740158,0.14832612872123718,man,APPROFITTATORE
referee,0.16641409695148468,0.05796356871724129,0.11490234732627869,man,ARBITRO
archaeologist,0.05873977392911911,0.049968842417001724,-0.02552494965493679,man,ARCHEOLOGA
archaeologist,0.05873977392911911,0.049968842417001724,-0.02552494965493679,man,ARCHEOLOGO
architect,0.22460250556468964,0.1210719421505928,0.10472685843706131,man,ARCHITETTO
architect,0.22460250556468964,0.1210719421505928,0.10472685843706131,man,ARCHITETTRICE
furnish home,0.2992945611476898,0.2674376666545868,0.3262215256690979,person,ARREDARE CASA
furnisher,0.19272315502166748,0.2174689918756485,0.15240192413330078,woman,ARREDATORE
furnisher,0.19272315502166748,0.2174689918756485,0.15240192413330078,woman,ARREDATRICE
grinder,-0.04438447207212448,-0.05123152211308479,-0.0046090916730463505,person,ARROTINA
artisan,-0.09056013822555542,-0.038053642958402634,-0.07808957248926163,woman,ARTIGIANA
artisan,-0.09056013822555542,-0.038053642958402634,-0.07808957248926163,woman,ARTIGIANO
artist,0.29886698722839355,0.34035083651542664,0.19965247809886932,woman,ARTISTA
to listen,0.48147323727607727,0.41896969079971313,0.5433159470558167,person,ASCOLTARE
listener,0.12991701066493988,0.16185274720191956,0.1242142990231514,woman,ASCOLTATORE
listener,0.12991701066493988,0.16185274720191956,0.1242142990231514,woman,ASCOLTATRICE
councilor,0.011954600922763348,0.014946339651942253,-0.09566406905651093,woman,ASSESSORA
councilor,0.011954600922763348,0.014946339651942253,-0.09566406905651093,woman,ASSESSORE
insurer,0.06697043776512146,0.08974656462669373,0.11732064932584763,person,ASSICURATRICE
assistant,0.33194273710250854,0.2659917175769806,0.08828697353601456,man,ASSISTENTE
social worker,0.3589581549167633,0.39463528990745544,0.2924158275127411,woman,ASSISTENTE SOCIALE
astrophysics,0.029650451615452766,-0.04591420665383339,-0.09141369163990021,man,ASTROFISICA
astronaut,0.05292658135294914,0.11445409059524536,0.0025033706333488226,woman,ASTRONAUTA
athlete,0.28693073987960815,0.31628766655921936,0.2093469500541687,woman,ATLETA
